gen, popsize, num_dd, num_dwt, num_wtwt, num_d_alleles, rate_d_alleles
0,10363,10000,0,10363,20000,0.964972
1,15978,6282,577,9119,13141,0.411222
2,13967,4941,674,8352,10556,0.377891
3,12506,3990,686,7830,8666,0.346474
4,11681,3813,627,7241,8253,0.353266
5,11253,3675,657,6921,8007,0.355772
6,10807,3473,624,6710,7570,0.350236
7,10177,3446,579,6152,7471,0.367053
8,10239,3558,604,6077,7720,0.37699
9,10006,3633,553,5820,7819,0.390716
10,9864,3697,591,5576,7985,0.404755
11,9559,3867,495,5197,8229,0.430432
12,9428,4006,509,4913,8521,0.451899
13,9203,4013,541,4649,8567,0.465446
14,9140,4176,464,4500,8816,0.482276
15,9018,4360,491,4167,9211,0.510701
16,9083,4545,502,4036,9592,0.528019
17,9062,4744,496,3822,9984,0.550872
18,8967,4909,439,3619,10257,0.57193
19,9342,5270,476,3596,11016,0.589595
20,9390,5517,401,3472,11435,0.608892
21,9421,5716,423,3282,11855,0.629179
22,9489,5949,358,3182,12256,0.6458
23,9480,6185,327,2968,12697,0.669673
24,9576,6382,334,2860,13098,0.683897
25,9479,6478,331,2670,13287,0.700865
26,9763,6823,310,2630,13956,0.714739
27,9884,7094,312,2478,14500,0.733509
28,10044,7395,278,2371,15068,0.7501
29,10227,7673,281,2273,15627,0.764007
30,10339,7977,320,2042,16274,0.78702
31,10127,7914,309,1904,16137,0.796732
32,10376,8296,325,1755,16917,0.815199
33,10562,8576,265,1721,17417,0.824512
34,10610,8862,230,1518,17954,0.846089
35,10764,9209,215,1340,18633,0.865524
36,11031,9547,262,1222,19356,0.877346
37,11259,9986,221,1052,20193,0.896749
38,11383,10218,199,966,20635,0.906396
39,11486,10469,176,841,21114,0.919119
40,11400,10584,153,663,21321,0.935132
41,11661,10962,117,582,22041,0.945073
42,11904,11307,108,489,22722,0.954385
43,12252,11754,107,391,23615,0.96372
44,12450,12057,74,319,24188,0.971406
45,12859,12522,61,276,25105,0.976165
46,13125,12859,38,228,25756,0.981181
47,13413,13208,32,173,26448,0.985909
48,13793,13628,33,132,27289,0.989234
49,13725,13623,28,74,27274,0.993588
50,13907,13836,22,49,27694,0.995686
51,14028,13988,13,27,27989,0.997612
52,14598,14583,7,8,29173,0.999212
53,15148,15140,6,2,30286,0.99967
54,15460,15450,9,1,30909,0.999644
55,15814,15801,13,0,31615,0.999589
56,16139,16126,13,0,32265,0.999597
57,16613,16607,6,0,33220,0.999819
58,17102,17098,4,0,34200,0.999883
59,17351,17348,3,0,34699,0.999914
60,17625,17622,3,0,35247,0.999915
61,17739,17736,3,0,35475,0.999915
62,18145,18141,4,0,36286,0.99989
63,18690,18687,3,0,37377,0.99992
64,19044,19042,2,0,38086,0.999947
65,19415,19415,0,0,38830,1.0
66,19639,19639,0,0,39278,1.0
67,19806,19806,0,0,39612,1.0
68,19965,19965,0,0,39930,1.0
69,20225,20225,0,0,40450,1.0
70,20613,20613,0,0,41226,1.0
71,20729,20729,0,0,41458,1.0
72,21044,21044,0,0,42088,1.0
73,21340,21340,0,0,42680,1.0
74,21652,21652,0,0,43304,1.0
75,21908,21908,0,0,43816,1.0
76,22653,22653,0,0,45306,1.0
77,23111,23111,0,0,46222,1.0
78,23703,23703,0,0,47406,1.0
79,23987,23987,0,0,47974,1.0
80,24150,24150,0,0,48300,1.0
81,24144,24144,0,0,48288,1.0
82,24397,24397,0,0,48794,1.0
83,24504,24504,0,0,49008,1.0
84,24558,24558,0,0,49116,1.0
85,24565,24565,0,0,49130,1.0
86,25008,25008,0,0,50016,1.0
87,25231,25231,0,0,50462,1.0
88,25528,25528,0,0,51056,1.0
89,25762,25762,0,0,51524,1.0
90,26308,26308,0,0,52616,1.0
91,26573,26573,0,0,53146,1.0
92,26626,26626,0,0,53252,1.0
93,26869,26869,0,0,53738,1.0
94,27471,27471,0,0,54942,1.0
95,27982,27982,0,0,55964,1.0
96,28320,28320,0,0,56640,1.0
97,29004,29004,0,0,58008,1.0
98,29026,29026,0,0,58052,1.0
99,29454,29454,0,0,58908,1.0
100,29386,29386,0,0,58772,1.0
