gen, popsize, num_dd, num_dwt, num_wtwt, num_d_alleles, rate_d_alleles
0,24984,10000,0,24984,20000,0.400256
1,26615,2263,739,23613,5265,0.0989104
2,25596,1696,827,23073,4219,0.0824152
3,25431,1548,966,22917,4062,0.0798632
4,25056,1560,977,22519,4097,0.0817569
5,25126,1596,965,22565,4157,0.0827231
6,25516,1611,1128,22777,4350,0.0852406
7,25086,1625,1112,22349,4362,0.0869409
8,25218,1745,1300,22173,4790,0.0949718
9,25228,1804,1447,21977,5055,0.100186
10,24609,1910,1414,21285,5234,0.106343
11,24943,2108,1443,21392,5659,0.113439
12,25130,2242,1356,21532,5840,0.116196
13,25090,2323,1430,21337,6076,0.121084
14,25924,2666,1449,21809,6781,0.130786
15,25803,2648,1466,21689,6762,0.131031
16,25592,2857,1449,21286,7163,0.139946
17,25515,3060,1455,21000,7575,0.148442
18,25919,3316,1397,21206,8029,0.154886
19,26367,3524,1357,21486,8405,0.159385
20,26035,3428,1412,21195,8268,0.158786
21,25794,3423,1419,20952,8265,0.160212
22,25507,3620,1373,20514,8613,0.168836
23,25799,3734,1419,20646,8887,0.172235
24,26049,3901,1480,20668,9282,0.178164
25,25986,4076,1354,20556,9506,0.182906
26,25859,4340,1413,20106,10093,0.195154
27,25730,4443,1325,19962,10211,0.198426
28,25846,4685,1327,19834,10697,0.206937
29,25739,4512,1355,19872,10379,0.20162
30,26152,4803,1353,19996,10959,0.209525
31,26350,5234,1315,19801,11783,0.223586
32,26546,5445,1338,19763,12228,0.230317
33,26792,5488,1444,19860,12420,0.231786
34,26540,5679,1398,19463,12756,0.240317
35,26297,5553,1400,19344,12506,0.237784
36,26729,5761,1412,19556,12934,0.241947
37,26604,5952,1405,19247,13309,0.250132
38,26352,6125,1414,18813,13664,0.259259
39,26127,6149,1339,18639,13637,0.260975
40,26513,6386,1342,18785,14114,0.266171
41,27224,6714,1337,19173,14765,0.271176
42,27410,6888,1373,19149,15149,0.276341
43,27332,6967,1404,18961,15338,0.280587
44,27682,7051,1449,19182,15551,0.280886
45,27915,7427,1393,19095,16247,0.291008
46,27705,7546,1436,18723,16528,0.298286
47,27839,7859,1463,18517,17181,0.308578
48,27489,8010,1454,18025,17474,0.317836
49,27737,8232,1446,18059,17910,0.322854
50,27192,8191,1437,17564,17819,0.327652
51,27456,8399,1477,17580,18275,0.332805
52,27440,8496,1502,17442,18494,0.33699
53,28307,9109,1515,17683,19733,0.348553
54,28156,9133,1477,17546,19743,0.3506
55,28238,9443,1434,17361,20320,0.359799
56,28546,9575,1489,17482,20639,0.361504
57,28114,9861,1426,16827,21148,0.376112
58,28262,10081,1418,16763,21580,0.381785
59,28174,10153,1425,16596,21731,0.385657
60,28351,10443,1465,16443,22351,0.394184
61,28102,10291,1441,16370,22023,0.39184
62,28215,10403,1485,16327,22291,0.39502
63,28438,10580,1469,16389,22629,0.397866
64,28355,10677,1436,16242,22790,0.401869
65,28792,11133,1565,16094,23831,0.413848
66,28648,11093,1602,15953,23788,0.415177
67,28531,11253,1611,15667,24117,0.422646
68,28544,11421,1447,15676,24289,0.425466
69,28666,11742,1513,15411,24997,0.436004
70,28967,12199,1505,15263,25903,0.447112
71,28946,12226,1556,15164,26008,0.44925
72,29100,12578,1473,15049,26629,0.457543
73,29188,12543,1618,15027,26704,0.457448
74,29456,12595,1568,15293,26758,0.454203
75,29767,12823,1536,15408,27182,0.456579
76,29474,12913,1600,14961,27426,0.465258
77,28824,12820,1431,14573,27071,0.469591
78,29042,12933,1454,14655,27320,0.470353
79,29790,13664,1484,14642,28812,0.483585
80,29822,13653,1470,14699,28776,0.482463
81,30167,13874,1507,14786,29255,0.484884
82,29917,13801,1562,14554,29164,0.487415
83,29978,14202,1494,14282,29898,0.498666
84,29920,14413,1508,13999,30334,0.506918
85,30223,14681,1526,14016,30888,0.511002
86,30163,14991,1514,13658,31496,0.522097
87,29984,14732,1557,13695,31021,0.517293
88,30080,14971,1480,13629,31422,0.522307
89,30288,15337,1547,13404,32221,0.53191
90,30432,15478,1555,13399,32511,0.534158
91,30017,15309,1554,13154,32172,0.535896
92,30308,15520,1440,13348,32480,0.535832
93,30124,15779,1415,12930,32973,0.547288
94,30333,16134,1469,12730,33737,0.556111
95,30309,16331,1377,12601,34039,0.561533
96,30492,16437,1435,12620,34309,0.56259
97,30832,16569,1443,12820,34581,0.560797
98,30970,16735,1483,12752,34953,0.564304
99,31205,17067,1477,12661,35611,0.570598
100,30997,17120,1452,12425,35692,0.575733
