gen, popsize, num_dd, num_dwt, num_wtwt, num_d_alleles, rate_d_alleles
0,23965,10000,0,23965,20000,0.417275
1,29473,9260,1701,18512,20221,0.343043
2,23445,3059,916,19470,7034,0.150011
3,23932,2412,941,20579,5765,0.120445
4,24309,2212,934,21163,5358,0.110206
5,24437,2128,1044,21265,5300,0.108442
6,24695,2187,1152,21356,5526,0.111885
7,24719,2218,1176,21325,5612,0.113516
8,25036,2314,1187,21535,5815,0.116133
9,25173,2410,1245,21518,6065,0.120466
10,25392,2634,1225,21533,6493,0.127855
11,25543,2638,1306,21599,6582,0.128842
12,25639,2709,1282,21648,6700,0.13066
13,25311,2842,1326,21143,7010,0.138477
14,25586,2987,1309,21290,7283,0.142324
15,25345,3080,1355,20910,7515,0.148254
16,25610,3402,1385,20823,8189,0.159879
17,25983,3574,1460,20949,8608,0.165647
18,26263,3735,1468,21060,8938,0.170163
19,25764,3789,1446,20529,9024,0.175128
20,25567,3859,1418,20290,9136,0.178668
21,25498,3956,1428,20114,9340,0.183152
22,25672,4136,1423,20113,9695,0.188824
23,25608,4162,1426,20020,9750,0.19037
24,25625,4349,1464,19812,10162,0.198283
25,25956,4674,1503,19779,10851,0.209027
26,26275,4886,1560,19829,11332,0.215642
27,26098,5109,1513,19476,11731,0.224749
28,26004,5390,1524,19090,12304,0.236579
29,26276,5599,1552,19125,12750,0.242617
30,26278,5445,1614,19219,12504,0.237918
31,26816,5899,1513,19404,13311,0.248191
32,26430,5994,1558,18878,13546,0.256262
33,26694,6161,1557,18976,13879,0.259965
34,26856,6249,1614,18993,14112,0.262735
35,27000,6336,1575,19089,14247,0.263833
36,26939,6240,1565,19134,14045,0.260682
37,27084,6603,1574,18907,14780,0.272855
38,26943,6871,1606,18466,15348,0.284824
39,27709,7277,1635,18797,16189,0.292125
40,27754,7259,1724,18771,16242,0.292606
41,27990,7539,1561,18890,16639,0.297231
42,27522,7749,1510,18263,17008,0.308989
43,27676,7970,1565,18141,17505,0.316249
44,27868,8104,1501,18263,17709,0.31773
45,28154,8415,1606,18133,18436,0.327414
46,28145,8683,1508,17954,18874,0.335299
47,28043,8829,1550,17664,19208,0.342474
48,27598,8846,1513,17239,19205,0.347942
49,27650,8970,1559,17121,19499,0.352604
50,27670,8983,1563,17124,19529,0.352891
51,28008,9423,1573,17012,20419,0.364521
52,27851,9450,1626,16775,20526,0.368497
53,28177,9876,1570,16731,21322,0.378358
54,28096,9895,1504,16697,21294,0.378951
55,28184,10216,1443,16525,21875,0.388075
56,28537,10450,1375,16712,22275,0.390283
57,28173,10614,1394,16165,22622,0.401484
58,28407,10979,1352,16076,23310,0.410286
59,28464,11008,1368,16088,23384,0.410764
60,28495,11171,1378,15946,23720,0.416213
61,28851,11577,1407,15867,24561,0.425652
62,29156,11613,1319,16224,24545,0.420925
63,28624,11362,1365,15897,24089,0.420783
64,29232,11901,1402,15929,25204,0.431103
65,29176,11981,1486,15709,25448,0.436112
66,28975,12174,1481,15320,25829,0.445712
67,28902,12332,1436,15134,26100,0.451526
68,28933,12530,1364,15039,26424,0.456641
69,29275,12939,1402,14934,27280,0.465927
70,28894,12902,1415,14577,27219,0.471015
71,29228,13260,1497,14471,28017,0.479284
72,29485,13419,1402,14664,28240,0.478888
73,29770,13610,1414,14746,28634,0.48092
74,29500,13682,1401,14417,28765,0.487542
75,29661,13793,1392,14476,28978,0.488487
76,29895,13881,1444,14570,29206,0.488476
77,30154,14323,1458,14373,30104,0.499171
78,30272,14554,1446,14272,30554,0.504658
79,30665,14916,1585,14164,31417,0.512262
80,30374,14733,1518,14123,30984,0.510041
81,30292,14825,1551,13916,31201,0.515004
82,30241,14974,1529,13738,31477,0.520436
83,30483,15215,1489,13779,31919,0.523554
84,29999,15223,1451,13325,31897,0.531634
85,30147,15487,1538,13122,32512,0.539224
86,30267,15505,1438,13324,32448,0.536029
87,30237,15589,1508,13140,32686,0.540497
88,30245,15598,1533,13114,32729,0.541065
89,30754,16287,1615,12852,34189,0.555846
90,30910,16652,1554,12704,34858,0.563863
91,31069,17043,1467,12559,35553,0.572162
92,30982,16947,1538,12497,35432,0.571816
93,31818,17484,1578,12756,36546,0.574298
94,31506,17395,1489,12622,36279,0.575747
95,31218,17318,1439,12461,36075,0.577792
96,31490,17719,1380,12391,36818,0.584598
97,30943,17486,1434,12023,36406,0.588275
98,31729,18265,1422,12042,37952,0.598065
99,31240,17913,1454,11873,37280,0.596671
100,31299,18316,1442,11541,38074,0.60823
