gen, popsize, num_dd, num_dwt, num_wtwt, num_d_alleles, rate_d_alleles
0,24637,10000,0,24637,20000,0.405894
1,31484,9461,1810,20213,20732,0.329247
2,30349,10112,2127,18110,22351,0.368233
3,29712,10956,2199,16557,24111,0.405745
4,29465,12221,2215,15029,26657,0.45235
5,29604,13862,2276,13466,30000,0.506688
6,21506,5004,1161,15341,11169,0.259672
7,21835,4031,1096,16708,9158,0.209709
8,22683,3828,1093,17762,8749,0.192854
9,24035,4073,1230,18732,9376,0.195049
10,24884,3958,1274,19652,9190,0.184657
11,25583,4127,1231,20225,9485,0.185377
12,25894,4280,1254,20360,9814,0.189503
13,26045,4316,1214,20515,9846,0.189019
14,26212,4515,1351,20346,10381,0.19802
15,26115,4721,1370,20024,10812,0.207007
16,26296,4895,1404,19997,11194,0.212846
17,26312,5119,1413,19780,11651,0.221401
18,26011,5111,1385,19515,11607,0.223117
19,26604,5292,1448,19864,12032,0.226131
20,26205,5338,1371,19496,12047,0.229861
21,26322,5475,1368,19479,12318,0.233987
22,26168,5708,1236,19224,12652,0.241746
23,26502,5923,1362,19217,13208,0.249189
24,26349,6027,1393,18929,13447,0.255171
25,26559,6194,1315,19050,13703,0.257973
26,26639,6229,1459,18951,13917,0.261215
27,26431,6349,1462,18620,14160,0.267867
28,26883,6662,1452,18769,14776,0.274821
29,26922,6886,1456,18580,15228,0.282817
30,27190,7139,1439,18612,15717,0.289022
31,26941,7238,1434,18269,15910,0.295275
32,27376,7538,1454,18384,16530,0.301907
33,27623,7585,1450,18588,16620,0.300836
34,27518,7749,1457,18312,16955,0.308071
35,27659,8018,1477,18164,17513,0.316588
36,27739,8189,1477,18073,17855,0.321839
37,27871,8512,1423,17936,18447,0.330935
38,27333,8227,1379,17727,17833,0.326217
39,27369,8386,1356,17627,18128,0.331178
40,27793,8624,1433,17736,18681,0.336074
41,28033,8810,1361,17862,18981,0.338547
42,27946,8854,1338,17754,19046,0.340764
43,27833,8962,1375,17496,19299,0.346693
44,27596,9126,1303,17167,19555,0.354309
45,27698,9171,1371,17156,19713,0.355856
46,28000,9641,1321,17038,20603,0.367911
47,28405,9981,1487,16937,21449,0.377557
48,28560,10365,1355,16840,22085,0.386642
49,29011,10518,1462,17031,22498,0.387749
50,29007,10589,1470,16948,22648,0.390389
51,29112,10891,1490,16731,23272,0.399698
52,28671,10881,1385,16405,23147,0.403666
53,28901,10941,1370,16590,23252,0.40227
54,28670,10886,1450,16334,23222,0.404988
55,28823,11232,1491,16100,23955,0.415554
56,28669,11342,1483,15844,24167,0.421483
57,28728,11523,1462,15743,24508,0.426552
58,28959,11835,1481,15643,25151,0.434252
59,29672,12131,1479,16062,25741,0.433759
60,29553,12279,1505,15769,26063,0.440954
61,29340,12205,1485,15650,25895,0.441292
62,29075,12195,1481,15399,25871,0.444901
63,28633,12454,1406,14773,26314,0.459505
64,28583,12511,1432,14640,26454,0.462758
65,29129,12765,1459,14905,26989,0.463267
66,29577,12979,1525,15073,27483,0.464601
67,29257,13085,1465,14707,27635,0.47228
68,29720,13347,1537,14836,28231,0.47495
69,29809,13413,1469,14927,28295,0.474605
70,29636,13714,1486,14436,28914,0.487819
71,29436,13845,1506,14085,29196,0.495923
72,29778,14195,1557,14026,29947,0.502838
73,29991,14232,1573,14186,30037,0.500767
74,30426,14848,1585,13993,31281,0.51405
75,30304,14847,1602,13855,31296,0.516367
76,30406,14992,1587,13827,31571,0.519157
77,30324,14872,1565,13887,31309,0.516241
78,30502,15225,1617,13660,32067,0.525654
79,30831,15600,1596,13635,32796,0.531867
80,30392,15416,1526,13450,32358,0.532344
81,30535,15647,1570,13318,32864,0.538137
82,30589,15918,1402,13269,33238,0.5433
83,30074,15731,1512,12831,32974,0.548214
84,30360,16188,1453,12719,33829,0.557131
85,30296,16418,1437,12441,34273,0.565636
86,30633,16713,1489,12431,34915,0.569892
87,30931,17092,1480,12359,35664,0.576509
88,30830,17180,1554,12096,35914,0.582452
89,30529,17028,1507,11994,35563,0.582446
90,30928,17612,1508,11808,36732,0.593831
91,31383,17869,1516,11998,37254,0.593538
92,31449,18079,1451,11919,37609,0.597936
93,31294,17811,1411,12072,37033,0.591695
94,31076,17852,1419,11805,37123,0.597294
95,31372,18230,1403,11739,37863,0.603452
96,31488,18526,1454,11508,38506,0.611439
97,31326,18638,1443,11245,38719,0.618001
98,31846,18930,1471,11445,39331,0.617519
99,32108,19137,1416,11555,39690,0.61807
100,32039,19231,1431,11377,39893,0.622569
