gen, popsize, num_dd, num_dwt, num_wtwt, num_d_alleles, rate_d_alleles
0,24637,10000,0,24637,20000,0.405894
1,29677,8889,1711,19077,19489,0.328352
2,25340,8468,1742,15130,18678,0.368548
3,21880,8405,1540,11935,18350,0.419333
4,18807,8197,1386,9224,17780,0.472696
5,16686,8078,1183,7425,17339,0.519567
6,15515,4704,919,9892,10327,0.332807
7,17005,4037,914,12054,8988,0.264275
8,19216,4016,1008,14192,9040,0.235221
9,21233,3966,1055,16212,8987,0.211628
10,22696,3896,1164,17636,8956,0.197303
11,24040,4288,1213,18539,9789,0.203598
12,24854,4325,1275,19254,9925,0.199666
13,25476,4316,1414,19746,10046,0.197166
14,25505,4381,1347,19777,10109,0.198177
15,25927,4665,1363,19899,10693,0.206214
16,26040,4994,1383,19663,11371,0.218337
17,26067,4995,1401,19671,11391,0.218495
18,26480,5125,1445,19910,11695,0.220827
19,27162,5480,1367,20315,12327,0.226916
20,27123,5755,1358,20010,12868,0.237216
21,27022,5823,1465,19734,13111,0.242599
22,26880,6036,1364,19480,13436,0.249926
23,26918,6144,1432,19342,13720,0.254848
24,26583,6274,1503,18806,14051,0.264285
25,27065,6718,1389,18958,14825,0.273878
26,27142,6965,1359,18818,15289,0.281648
27,27785,7129,1569,19087,15827,0.284812
28,27922,7284,1621,19017,16189,0.289897
29,27686,7343,1503,18840,16189,0.292368
30,27986,7669,1548,18769,16886,0.301687
31,28212,7792,1517,18903,17101,0.30308
32,27846,7844,1521,18481,17209,0.309003
33,27681,7890,1523,18268,17303,0.312543
34,27900,8244,1493,18163,17981,0.32224
35,27867,8530,1529,17808,18589,0.333531
36,28056,8748,1573,17735,19069,0.339838
37,27808,8876,1479,17453,19231,0.345782
38,28190,8909,1446,17835,19264,0.341681
39,28223,9087,1502,17634,19676,0.348581
40,27757,9352,1404,17001,20108,0.362215
41,27482,9548,1451,16483,20547,0.373827
42,27610,9627,1452,16531,20706,0.374973
43,28185,9835,1511,16839,21181,0.37575
44,28400,10048,1573,16779,21669,0.381496
45,28520,10193,1671,16656,22057,0.386694
46,28300,10268,1597,16435,22133,0.391042
47,28657,10608,1649,16400,22865,0.398943
48,28745,10741,1616,16388,23098,0.401774
49,28982,11092,1629,16261,23813,0.410824
50,28698,10898,1548,16252,23344,0.406718
51,28361,10940,1502,15919,23382,0.412221
52,29075,11399,1484,16192,24282,0.417575
53,28946,11608,1554,15784,24770,0.427866
54,29044,11655,1521,15868,24831,0.427472
55,29216,11922,1510,15784,25354,0.433906
56,29814,12378,1547,15889,26303,0.441118
57,29159,12302,1549,15308,26153,0.448455
58,29495,12485,1620,15390,26590,0.450754
59,29459,12495,1535,15429,26525,0.450202
60,29851,12860,1587,15404,27307,0.457388
61,29825,12904,1602,15319,27410,0.459514
62,29588,13005,1546,15037,27556,0.465662
63,29806,13272,1510,15024,28054,0.47061
64,29346,13504,1555,14287,28563,0.486659
65,29351,13667,1489,14195,28823,0.491005
66,29167,13769,1436,13962,28974,0.496691
67,29208,13759,1541,13908,29059,0.497449
68,29403,13951,1522,13930,29424,0.500357
69,29841,14565,1511,13765,30641,0.513404
70,29595,14676,1496,13423,30848,0.521169
71,29661,14665,1512,13484,30842,0.519908
72,30137,15168,1459,13510,31795,0.527508
73,30370,15230,1485,13655,31945,0.52593
74,30448,15399,1488,13561,32286,0.530183
75,30346,15597,1427,13322,32621,0.537484
76,30709,16152,1473,13084,33777,0.549953
77,30419,16274,1376,12769,33924,0.557612
78,30561,16282,1454,12825,34018,0.556559
79,30268,16227,1434,12607,33888,0.559799
80,29898,16054,1462,12382,33570,0.561409
81,30459,16744,1450,12265,34938,0.573525
82,31251,17353,1507,12391,36213,0.579389
83,31308,17597,1471,12240,36665,0.585553
84,31558,17818,1491,12249,37127,0.588234
85,31713,17916,1407,12390,37239,0.587125
86,31786,18154,1397,12235,37705,0.593107
87,31895,18341,1393,12161,38075,0.59688
88,31964,18630,1457,11877,38717,0.605634
89,31950,18646,1446,11858,38738,0.606228
90,32348,19169,1422,11757,39760,0.614567
91,32373,19300,1435,11638,40035,0.618339
92,32281,19235,1506,11540,39976,0.619188
93,31970,19105,1420,11445,39630,0.6198
94,32196,19439,1433,11324,40311,0.626025
95,32109,19557,1470,11082,40584,0.631972
96,32300,19639,1467,11194,40745,0.630728
97,32537,19845,1406,11286,41096,0.631527
98,32553,20110,1513,10930,41733,0.641001
99,32354,20074,1532,10748,41680,0.644124
100,32143,20044,1500,10599,41588,0.646922
