gen, popsize, num_dd, num_dwt, num_wtwt, num_d_alleles, rate_d_alleles
0,30975,1000,0,29975,2000,0.0322841
1,29808,396,1058,28354,1850,0.0310319
2,30109,334,1179,28596,1847,0.0306719
3,29847,310,1273,28264,1893,0.0317117
4,30121,301,1334,28486,1936,0.032137
5,29880,253,1320,28307,1826,0.0305556
6,30081,245,1318,28518,1808,0.0300522
7,29997,261,1360,28376,1882,0.0313698
8,29998,228,1426,28344,1882,0.0313688
9,29919,197,1482,28240,1876,0.0313513
10,29940,201,1439,28300,1841,0.0307448
11,30227,181,1500,28546,1862,0.0308003
12,30110,181,1476,28453,1838,0.0305214
13,29944,152,1388,28404,1692,0.0282527
14,29966,147,1411,28408,1705,0.0284489
15,29877,122,1418,28337,1662,0.027814
16,29947,143,1446,28358,1732,0.0289178
17,29855,111,1421,28323,1643,0.0275163
18,29902,100,1420,28382,1620,0.0270885
19,30117,94,1343,28680,1531,0.0254175
20,30149,89,1397,28663,1575,0.0261203
21,29998,104,1398,28496,1606,0.0267685
22,29929,104,1304,28521,1512,0.0252598
23,29880,72,1278,28530,1422,0.0237952
24,30044,82,1241,28721,1405,0.0233824
25,30080,83,1235,28762,1401,0.0232879
26,30046,68,1234,28744,1370,0.0227984
27,29915,55,1214,28646,1324,0.0221294
28,29973,54,1138,28781,1246,0.0207854
29,29960,71,1107,28782,1249,0.0208445
30,29718,45,1159,28514,1249,0.0210142
31,29958,46,1155,28757,1247,0.0208125
32,30015,58,1162,28795,1278,0.0212894
33,30053,59,1136,28858,1254,0.0208631
34,29708,43,1131,28534,1217,0.0204827
35,30045,57,1171,28817,1285,0.0213846
36,30117,59,1185,28873,1303,0.0216323
37,30076,43,1271,28762,1357,0.0225595
38,30247,48,1262,28937,1358,0.0224485
39,29911,52,1248,28611,1352,0.0226004
40,30089,59,1260,28770,1378,0.0228987
41,29945,58,1193,28694,1309,0.0218567
42,30073,54,1262,28757,1370,0.0227779
43,30113,50,1259,28804,1359,0.022565
44,30044,54,1250,28740,1358,0.0226002
45,30044,49,1211,28784,1309,0.0217847
46,29963,42,1264,28657,1348,0.0224944
47,29975,39,1237,28699,1315,0.0219349
48,30065,37,1196,28832,1270,0.0211209
49,30141,43,1185,28913,1271,0.0210842
50,30004,42,1156,28806,1240,0.0206639
51,29985,26,1191,28768,1243,0.020727
52,30028,49,1133,28846,1231,0.0204975
53,30088,52,1125,28911,1229,0.0204234
54,29982,36,1143,28803,1215,0.0202622
55,30127,42,1093,28992,1177,0.019534
56,29913,29,1062,28822,1120,0.018721
57,29914,29,1086,28799,1144,0.0191215
58,30265,37,1080,29148,1154,0.0190649
59,30083,28,1059,28996,1115,0.0185321
60,30011,25,1118,28868,1168,0.0194595
61,30061,32,1132,28897,1196,0.0198929
62,29948,39,1158,28751,1236,0.0206358
63,29824,35,1083,28706,1153,0.0193301
64,29899,32,1121,28746,1185,0.0198167
65,30145,38,1086,29021,1162,0.0192735
66,29943,38,1110,28795,1186,0.0198043
