gen, popsize, num_dd, num_dwt, num_wtwt, num_d_alleles, rate_d_alleles
0,25078,1000,0,25078,2000,0.0398756
1,24913,555,897,23461,2007,0.0402802
2,25078,501,1076,23501,2078,0.0414307
3,24971,496,1030,23445,2022,0.040487
4,25027,479,1049,23499,2007,0.0400967
5,24961,435,1088,23438,1958,0.0392212
6,24965,411,1161,23393,1983,0.0397156
7,24798,420,1141,23237,1981,0.0399427
8,25265,464,1177,23624,2105,0.0416584
9,25035,470,1194,23371,2134,0.0426203
10,24909,452,1281,23176,2185,0.0438596
11,24931,459,1197,23275,2115,0.0424171
12,25028,432,1272,23324,2136,0.0426722
13,24973,440,1195,23338,2075,0.0415449
14,24907,429,1278,23200,2136,0.0428795
15,25015,415,1246,23354,2076,0.0414951
16,25004,497,1204,23303,2198,0.043953
17,25165,504,1283,23378,2291,0.0455196
18,25105,523,1379,23203,2425,0.0482972
19,24857,548,1269,23040,2365,0.0475721
20,24986,534,1357,23095,2425,0.0485272
21,24934,579,1436,22919,2594,0.0520173
22,25021,602,1413,23006,2617,0.0522961
23,25009,655,1478,22876,2788,0.0557399
24,25079,765,1510,22804,3040,0.0606085
25,25094,855,1564,22675,3274,0.0652347
26,24941,981,1626,22334,3588,0.0719298
27,24752,1068,1523,22161,3659,0.0739132
28,25087,1120,1586,22381,3826,0.0762546
29,25249,1181,1617,22451,3979,0.0787952
30,25023,1373,1633,22017,4379,0.0874995
31,25110,1515,1606,21989,4636,0.0923138
32,25417,1713,1661,22043,5087,0.100071
33,25081,1898,1778,21405,5574,0.11112
34,25192,2180,1823,21189,6183,0.122718
35,25304,2543,1857,20904,6943,0.137192
36,25505,2997,1928,20580,7922,0.155303
37,25445,3498,1816,20131,8812,0.173158
38,25559,3923,1868,19768,9714,0.190031
39,25605,4400,1908,19297,10708,0.2091
40,25980,5166,1930,18884,12262,0.235989
41,25946,5580,1815,18551,12975,0.250039
42,26051,6257,1817,17977,14331,0.275057
43,26061,6925,1828,17308,15678,0.300794
44,26419,7993,1683,16743,17669,0.334399
45,26505,8798,1682,16025,19278,0.363667
46,26816,9652,1649,15515,20953,0.390681
47,26805,10296,1559,14950,22151,0.413188
48,27010,10995,1434,14581,23424,0.433617
49,27187,11882,1254,14051,25018,0.46011
50,27311,12546,1217,13548,26309,0.481656
51,27114,13072,1249,12793,27393,0.505145
52,27596,13678,1107,12811,28463,0.515709
53,27646,14216,1109,12321,29541,0.534273
54,27869,14631,1067,12171,30329,0.544135
55,27791,14907,969,11915,30783,0.55383
56,27960,15322,913,11725,31557,0.564324
57,27811,15351,919,11541,31621,0.568498
58,27875,15637,887,11351,32161,0.576879
59,27748,15803,876,11069,32482,0.585303
60,28025,16161,826,11038,33148,0.591401
61,27954,16359,870,10725,33588,0.600773
62,28192,16636,819,10737,34091,0.604622
63,28215,16683,709,10823,34075,0.603845
64,28268,16781,798,10689,34360,0.607754
65,28134,16770,849,10515,34389,0.611164
66,28244,16965,854,10425,34784,0.615777
67,28132,17015,841,10276,34871,0.619775
68,28387,17151,783,10453,35085,0.617977
69,28221,17183,843,10195,35209,0.623809
70,28250,17217,911,10122,35345,0.625575
71,28236,17278,929,10029,35485,0.628364
72,28229,17252,926,10051,35430,0.627546
73,28228,17133,873,10222,35139,0.622414
74,28087,17113,895,10079,35121,0.625218
75,28227,17173,906,10148,35252,0.624438
76,28260,17336,812,10112,35484,0.627813
77,28296,17629,861,9806,36119,0.638235
78,28389,17905,822,9662,36632,0.645179
79,28527,18089,882,9556,37060,0.64956
80,28392,17989,859,9544,36837,0.648721
81,28570,17936,886,9748,36758,0.643297
82,28582,18162,900,9520,37224,0.651179
83,28594,18077,895,9622,37049,0.647846
84,28450,18232,851,9367,37315,0.6558
85,28455,18211,785,9459,37207,0.653787
86,28404,18048,843,9513,36939,0.650243
87,28412,18145,787,9480,37077,0.652488
88,28515,18280,882,9353,37442,0.656532
89,28536,18347,856,9333,37550,0.657941
90,28612,18592,925,9095,38109,0.665962
91,28603,18702,914,8987,38318,0.669825
92,28556,18652,957,8947,38261,0.669929
