generation,N,replicate
1,30000,4
2,30150,4
3,29930,4
4,29771,4
5,29915,4
6,30392,4
7,30412,4
8,29746,4
9,29844,4
10,29692,4
11,30275,4
12,29945,4
13,30673,4
14,30137,4
15,29703,4
16,29672,4
17,30195,4
18,30188,4
19,30044,4
20,29871,4
21,29916,4
22,30041,4
23,30001,4
24,30119,4
25,30182,4
26,29999,4
27,30008,4
28,29651,4
29,29771,4
30,30169,4
31,30340,4
32,29911,4
33,30149,4
34,30017,4
35,30171,4
36,30458,4
37,30607,4
38,30113,4
39,30223,4
40,30627,4
41,29348,4
42,30144,4
43,30131,4
44,30149,4
45,30349,4
46,29509,4
47,29891,4
48,30136,4
49,29887,4
50,30012,4
51,29915,4
52,30218,4
53,30190,4
54,30016,4
55,29730,4
56,29839,4
57,30035,4
58,30075,4
59,29890,4
60,29840,4
61,30091,4
62,30604,4
63,29588,4
64,30032,4
65,29874,4
66,30212,4
67,29906,4
68,29947,4
69,30085,4
70,29928,4
71,29956,4
72,30189,4
73,29707,4
74,30294,4
75,30056,4
76,29859,4
77,30059,4
78,30245,4
79,30009,4
80,29737,4
81,29723,4
82,29836,4
83,30299,4
84,29700,4
85,30205,4
86,30107,4
87,29933,4
88,30046,4
89,30198,4
90,30053,4
91,29779,4
92,30044,4
93,29967,4
94,29983,4
95,29852,4
96,30118,4
97,29819,4
98,29631,4
99,30238,4
100,29896,4
