generation,N,replicate
1,30000,3
2,29982,3
3,30440,3
4,30263,3
5,29611,3
6,29985,3
7,29719,3
8,29705,3
9,30024,3
10,30408,3
11,29752,3
12,30186,3
13,30102,3
14,30379,3
15,29847,3
16,29976,3
17,30474,3
18,29899,3
19,30272,3
20,29904,3
21,30329,3
22,30237,3
23,29887,3
24,30050,3
25,29728,3
26,29997,3
27,29763,3
28,30300,3
29,29629,3
30,29855,3
31,29833,3
32,30695,3
33,30101,3
34,30278,3
35,29928,3
36,30118,3
37,30077,3
38,30304,3
39,29931,3
40,29900,3
41,29810,3
42,29869,3
43,29913,3
44,30123,3
45,29784,3
46,30260,3
47,29912,3
48,30221,3
49,30244,3
50,29611,3
51,29869,3
52,30430,3
53,30265,3
54,30334,3
55,29773,3
56,30310,3
57,29666,3
58,29918,3
59,30153,3
60,29782,3
61,29782,3
62,30202,3
63,29781,3
64,29958,3
65,29955,3
66,29845,3
67,29798,3
68,30180,3
69,29931,3
70,30136,3
71,29746,3
72,29975,3
73,29847,3
74,30269,3
75,30101,3
76,30438,3
77,30303,3
78,30136,3
79,30294,3
80,30081,3
81,30119,3
82,29723,3
83,29878,3
84,29846,3
85,30102,3
86,30132,3
87,29686,3
88,29712,3
89,29975,3
90,29492,3
91,29954,3
92,29951,3
93,30173,3
94,30003,3
95,29462,3
96,30339,3
97,29244,3
98,29791,3
99,29975,3
100,30611,3
