generation, N
1,30000
2,30142
3,30169
4,30155
5,29991
6,30198
7,30151
8,30001
9,30276
10,29624
11,30532
12,29666
13,30475
14,29908
15,30053
16,30041
17,30046
18,30031
19,29943
20,29871
21,30786
22,29446
23,30682
24,30134
25,29811
26,30557
27,29845
28,29969
29,30135
30,29868
31,30446
32,29709
33,30132
34,29887
35,30250
36,29774
37,29890
38,30296
39,30106
40,30066
41,30391
42,29553
43,30058
44,29579
45,30453
46,29911
47,29940
48,30508
49,29924
50,30387
51,29976
52,30170
53,29974
54,30326
55,30287
56,30145
57,29655
58,30278
59,30138
60,29649
61,30610
62,29431
63,30465
64,29756
65,30387
66,29340
67,30245
68,29500
69,30647
70,29807
71,29910
72,30448
73,29440
74,29952
75,30202
76,29938
77,30165
78,30033
79,30569
80,30191
81,29727
82,30255
83,29990
84,29640
85,29779
86,30255
87,29932
88,30146
89,30242
90,29872
91,30022
92,30446
93,30106
94,30393
95,30010
96,30110
97,30251
98,29935
99,30384
100,29565
101,29839
102,30215
103,29664
104,29951
105,30079
106,30312
107,30319
108,30230
109,29657
110,30148
111,30019
112,29772
113,29970
114,29999
115,30101
116,30291
117,29593
118,30366
119,30142
120,29992
121,29898
122,29962
123,29843
124,30011
125,30035
126,30199
127,29847
128,29965
129,29740
130,30085
131,30391
132,29831
133,30382
134,29900
135,30140
136,29677
137,30317
138,29623
139,30496
140,29652
141,30537
142,29912
143,30126
144,29883
145,30256
146,30096
147,30240
148,30486
149,30080
150,29796
151,30558
152,29849
153,30041
154,30372
