generation, N
1,30000
2,29844
3,30202
4,29756
5,30443
6,29982
7,30267
8,30108
9,30051
10,29914
11,29975
12,29745
13,29930
14,30556
15,29687
16,30249
17,29960
18,29746
19,30017
20,30074
21,30177
22,30004
23,30132
24,30214
25,30202
26,29754
27,30181
28,30004
29,29902
30,29914
31,29894
32,29798
33,29756
34,29389
35,29761
36,30475
37,29979
38,29995
39,30190
40,30452
41,30374
42,29891
43,30008
44,30086
45,30046
46,29846
47,30154
48,30029
49,30692
50,30110
51,30109
52,30271
53,29773
54,29611
55,30297
56,30091
57,30468
58,29810
59,30174
60,30296
61,30246
62,29791
63,30260
64,29968
65,29950
66,30001
67,30188
68,30346
69,29941
70,30355
71,30147
72,30276
73,29959
74,30216
75,29923
76,30211
77,29318
78,30041
79,29642
80,30158
81,29557
82,30004
83,30511
84,30492
85,30242
86,30399
87,29444
88,29967
89,30285
90,30218
91,30132
92,29961
93,29846
94,30401
95,29956
96,29847
97,30478
98,30229
99,30186
100,30255
101,30373
102,29992
103,29841
104,30333
105,30310
106,30377
107,30203
108,30082
109,30036
110,30036
111,30345
112,30033
113,29660
114,30208
115,30254
116,30192
117,30027
118,29806
119,29761
120,30043
121,30170
122,29948
123,29927
124,30030
125,30026
126,30316
127,30251
128,30311
129,30512
130,30209
131,29767
132,29929
133,30102
134,30063
135,29879
136,29944
137,29757
138,29702
139,29669
140,30190
141,30265
142,30047
143,29813
144,30086
145,29859
146,30137
147,30159
148,30096
149,30173
150,29925
151,29837
152,30272
153,30046
154,30102
155,29878
156,29848
157,30388
158,30341
159,30189
160,29888
161,29698
162,30165
163,30217
164,30245
165,30027
166,30213
167,30130
168,30027
169,30291
170,29636
171,30001
172,30101
173,30208
174,29957
175,30406
176,30370
177,30069
178,30398
179,29755
180,29758
181,30202
182,29895
183,29887
184,30611
185,30065
186,29588
187,29831
188,30216
189,29943
190,30337
191,29872
192,29882
193,30291
194,30330
195,30563
196,30174
197,29941
198,30380
199,29355
200,30209
201,30102
202,29758
203,30168
204,30099
205,30065
206,30233
207,30031
208,30144
209,29955
210,30107
211,29631
212,29867
213,29840
214,29562
215,29894
216,29784
217,30179
218,30484
219,29804
220,30224
221,30282
222,29890
223,29917
224,29992
225,29840
226,30233
227,30333
228,29730
229,30054
230,30407
231,30189
232,29780
233,30220
234,30276
235,30195
236,29731
237,29937
238,30242
239,30184
240,29994
241,30067
242,30042
243,30130
244,29857
245,29791
246,30351
247,30148
248,30020
249,30281
250,30236
251,30053
252,30314
253,30076
254,29835
255,30091
256,30029
257,30325
258,29913
259,30156
260,30067
261,30743
